0: [-16.516918182373047, -40.58290481567383, 13.690749168395996, -32.06745147705078, -40.80331039428711, -38.731319427490234, 43.14999008178711, -28.17127227783203]
1: [-18.986186981201172, -42.136722564697266, 16.84541893005371, -28.365842819213867, -56.516361236572266, -35.10846710205078, 60.09428787231445, -39.98945236206055]
2: [-17.3536376953125, -44.74552917480469, 16.539682388305664, -30.432409286499023, -60.46080017089844, -33.890682220458984, 60.99349594116211, -45.09355926513672]
3: [-21.400047302246094, -46.36599349975586, 19.915552139282227, -32.065101623535156, -66.48129272460938, -34.428001403808594, 64.16480255126953, -44.79319381713867]
4: [-19.35991859436035, -48.98999786376953, 21.713394165039062, -34.08149719238281, -67.32539367675781, -34.91221618652344, 67.98711395263672, -47.32968521118164]
5: [-22.77823829650879, -52.008846282958984, 24.67140007019043, -35.076377868652344, -66.89049530029297, -34.42760467529297, 70.37379455566406, -51.319190979003906]
6: [-18.97210121154785, -50.87575912475586, 21.835935592651367, -38.492733001708984, -72.1534423828125, -37.63047790527344, 65.88180541992188, -49.83865737915039]
7: [-22.123300552368164, -50.41984558105469, 21.982423782348633, -35.60035705566406, -68.29434204101562, -42.33793640136719, 69.81864929199219, -46.224002838134766]
8: [-21.752344131469727, -52.56905746459961, 24.309221267700195, -36.06623077392578, -73.97386169433594, -42.12023162841797, 74.76069641113281, -47.262420654296875]
9: [-23.291868209838867, -53.71236038208008, 22.19559097290039, -39.90398025512695, -76.40336608886719, -42.279754638671875, 75.55830383300781, -51.034400939941406]
10: [-20.63416290283203, -49.9379768371582, 23.075424194335938, -41.22581481933594, -75.69452667236328, -48.35629653930664, 73.14986419677734, -48.857421875]
11: [-25.395849227905273, -51.42900466918945, 23.670259475708008, -34.71364974975586, -72.99776458740234, -43.37040710449219, 70.69254302978516, -50.78618240356445]
12: [-27.797697067260742, -50.75345230102539, 22.84465789794922, -38.81768035888672, -72.48626708984375, -44.53290557861328, 76.69709777832031, -54.124813079833984]
13: [-23.8621768951416, -50.06730270385742, 24.189207077026367, -45.74828338623047, -70.91720581054688, -44.02949905395508, 75.84783935546875, -54.715309143066406]
14: [-25.64732551574707, -51.74495315551758, 27.449058532714844, -50.94664764404297, -77.11517333984375, -49.83895492553711, 77.50048065185547, -49.70063781738281]
15: [-26.631023406982422, -55.52854537963867, 29.307390213012695, -48.63209915161133, -75.47563934326172, -48.79220962524414, 78.02716064453125, -52.9015007019043]
16: [-25.462589263916016, -52.18062210083008, 26.150657653808594, -51.54484176635742, -74.83622741699219, -48.628990173339844, 77.81078338623047, -51.27767562866211]
17: [-25.68012809753418, -53.97658920288086, 26.660493850708008, -51.030582427978516, -75.45811462402344, -50.28309631347656, 79.08743286132812, -56.372615814208984]
18: [-23.093128204345703, -49.22867202758789, 24.699033737182617, -52.28972244262695, -75.02119445800781, -54.03901672363281, 73.77796936035156, -53.668216705322266]
19: [-23.05567741394043, -50.08761215209961, 27.410295486450195, -53.37273406982422, -72.38240051269531, -53.95349884033203, 81.62385559082031, -55.31808853149414]
20: [-24.21898651123047, -50.97860336303711, 24.61290740966797, -46.96174621582031, -74.32020568847656, -50.45112609863281, 79.28350067138672, -50.23224639892578]
